schema_version,independent_run_id,table,row_key,field,reference_value,rerun_value,comparison_kind,absolute_difference,relative_difference,absolute_tolerance,relative_tolerance,match,comparison_status,notes
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,schema_version,invariant_bundle_method_comparison_v1,invariant_bundle_method_comparison_v1,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,run_id,622C929BECB834767763,FRESH-20260716T073007Z-2D9EC0DB-bundle,informational_provenance,,,,,true,info,recorded but excluded from scientific acceptance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,case_id,em_halo_12p097_n9_lowres_negative,em_halo_12p097_n9_lowres_negative,row_key,,,,,true,pass,exact row identity
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,family,earth_moon_l1_quasi_halo,earth_moon_l1_quasi_halo,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,member_id,pseudo_arclength_26,pseudo_arclength_26,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,system,earth_moon,earth_moon,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,method,ordered_partial_real_schur_tracking,ordered_partial_real_schur_tracking,row_key,,,,,true,pass,exact row identity
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,spectral_samples,9,9,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,bundle_dimension,1,1,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,classification,real_1d_hyperbolic_bundle,real_1d_hyperbolic_bundle,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,max_invariance_residual,4.884507986118001e-06,4.884507986118001e-06,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,mean_invariance_residual,3.935290355092208e-06,3.935290355092208e-06,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,selection_residual,1.39427235296156e-15,1.39427235296156e-15,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,reciprocal_pair_error,1.664630655540122e-10,1.664630655540122e-10,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,relative_imaginary_part,0,0,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,phase_principal_angle_max_deg,6.000323988750726,6.000323988750726,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,phase_principal_angle_mean_deg,4.532690682930019,4.532690682930019,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,cross_resolution_principal_angle_max_deg,nan,nan,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,bundle_multiplier_estimate,1293.70201221067,1293.70201221067,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,lyapunov_estimate_per_day,0.592316999784965,0.592316999784965,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,sign_or_subspace_flips,0,0,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,iterations,0,0,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,converged,true,true,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,source_map_residual_recomputed,9.322175611020453e-10,9.322175611020453e-10,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,source_map_status,pass,pass,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,manifold_jacobi_drift,nan,nan,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,initial_linear_growth_ratio,nan,nan,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,normalized_3d_manifold_distance,nan,nan,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,manifold_status,not_selected_stage_f,not_selected_stage_f,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,runtime_seconds,0.008913600000596489,0.01023010000062641,informational_provenance,,,,,true,info,recorded but excluded from scientific acceptance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,peak_memory_mb_estimate,0.09171295166015625,0.09171295166015625,informational_provenance,,,,,true,info,recorded but excluded from scientific acceptance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,research_status,boundary,boundary,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,failure_reason,max_invariance_residual_gt_1e-6,max_invariance_residual_gt_1e-6,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,registry_sha256,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,cocycle_cache_sha256,8A8EEDB95D2B4523A713284434ACA78E473DE8EB2E1D2AE4C56DAEBA2067313A,8A8EEDB95D2B4523A713284434ACA78E473DE8EB2E1D2AE4C56DAEBA2067313A,informational_provenance,,,,,true,info,recorded but excluded from scientific acceptance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|ordered_partial_real_schur_tracking,source_git_commit,95a606ef75888fcef7f4d8cb2eedb120efc13b22,cf04669322d43dfb61acbeaf9e20b85f0c7bf772,informational_provenance,,,,,true,info,recorded but excluded from scientific acceptance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,schema_version,invariant_bundle_method_comparison_v1,invariant_bundle_method_comparison_v1,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,run_id,622C929BECB834767763,FRESH-20260716T073007Z-2D9EC0DB-bundle,informational_provenance,,,,,true,info,recorded but excluded from scientific acceptance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,case_id,em_halo_12p097_n9_lowres_negative,em_halo_12p097_n9_lowres_negative,row_key,,,,,true,pass,exact row identity
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,family,earth_moon_l1_quasi_halo,earth_moon_l1_quasi_halo,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,member_id,pseudo_arclength_26,pseudo_arclength_26,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,system,earth_moon,earth_moon,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,method,qr_svd_shifted_cocycle_iteration,qr_svd_shifted_cocycle_iteration,row_key,,,,,true,pass,exact row identity
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,spectral_samples,9,9,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,bundle_dimension,1,1,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,classification,real_1d_hyperbolic_bundle,real_1d_hyperbolic_bundle,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,max_invariance_residual,1.011879515616497e-07,1.011879515616497e-07,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,mean_invariance_residual,7.953530800065842e-08,7.953530800065842e-08,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,selection_residual,1.207418269725733e-06,1.207418269725733e-06,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,reciprocal_pair_error,1.664628435094073e-10,1.664628435094073e-10,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,relative_imaginary_part,0,0,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,phase_principal_angle_max_deg,6.000283746649422,6.000283746649422,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,phase_principal_angle_mean_deg,4.532678736228163,4.532678736228163,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,cross_resolution_principal_angle_max_deg,nan,nan,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,bundle_multiplier_estimate,1293.70201232618,1293.70201232618,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,lyapunov_estimate_per_day,0.5923169997923459,0.5923169997923459,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,sign_or_subspace_flips,0,0,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,iterations,4,4,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,converged,true,true,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,source_map_residual_recomputed,9.322175611020453e-10,9.322175611020453e-10,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,source_map_status,pass,pass,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,manifold_jacobi_drift,nan,nan,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,initial_linear_growth_ratio,nan,nan,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,normalized_3d_manifold_distance,nan,nan,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,manifold_status,not_selected_stage_f,not_selected_stage_f,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,runtime_seconds,0.03185589999884542,0.039206399997056,informational_provenance,,,,,true,info,recorded but excluded from scientific acceptance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,peak_memory_mb_estimate,0.09352874755859375,0.09352874755859375,informational_provenance,,,,,true,info,recorded but excluded from scientific acceptance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,research_status,accepted,accepted,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,failure_reason,,,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,registry_sha256,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,cocycle_cache_sha256,8A8EEDB95D2B4523A713284434ACA78E473DE8EB2E1D2AE4C56DAEBA2067313A,8A8EEDB95D2B4523A713284434ACA78E473DE8EB2E1D2AE4C56DAEBA2067313A,informational_provenance,,,,,true,info,recorded but excluded from scientific acceptance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|qr_svd_shifted_cocycle_iteration,source_git_commit,95a606ef75888fcef7f4d8cb2eedb120efc13b22,cf04669322d43dfb61acbeaf9e20b85f0c7bf772,informational_provenance,,,,,true,info,recorded but excluded from scientific acceptance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,schema_version,invariant_bundle_method_comparison_v1,invariant_bundle_method_comparison_v1,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,run_id,622C929BECB834767763,FRESH-20260716T073007Z-2D9EC0DB-bundle,informational_provenance,,,,,true,info,recorded but excluded from scientific acceptance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,case_id,em_halo_12p097_n9_lowres_negative,em_halo_12p097_n9_lowres_negative,row_key,,,,,true,pass,exact row identity
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,family,earth_moon_l1_quasi_halo,earth_moon_l1_quasi_halo,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,member_id,pseudo_arclength_26,pseudo_arclength_26,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,system,earth_moon,earth_moon,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,method,traditional_pointwise_eigendecomposition,traditional_pointwise_eigendecomposition,row_key,,,,,true,pass,exact row identity
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,spectral_samples,9,9,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,bundle_dimension,1,1,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,classification,real_1d_pointwise_candidate,real_1d_pointwise_candidate,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,max_invariance_residual,0.08258131391599341,0.08258131391599341,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,mean_invariance_residual,0.06480511541096766,0.06480511541096766,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,selection_residual,7.247611441383717e-16,7.247611441383717e-16,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,reciprocal_pair_error,0.1348609740271334,0.1348609740271334,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,relative_imaginary_part,0,0,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,phase_principal_angle_max_deg,5.852938220134846,5.852938220134846,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,phase_principal_angle_mean_deg,4.532706542190018,4.532706542190018,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,cross_resolution_principal_angle_max_deg,nan,nan,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,bundle_multiplier_estimate,1281.396282025346,1281.396282025346,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,lyapunov_estimate_per_day,0.5915269236739282,0.5915269236739282,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,sign_or_subspace_flips,0,0,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,iterations,0,0,numeric_scientific,0.0,0.0,1e-12,1e-08,true,pass,fixed numeric tolerance
independent_rerun_field_comparison_v1,FRESH-20260716T073007Z-2D9EC0DB,method_comparison,em_halo_12p097_n9_lowres_negative|traditional_pointwise_eigendecomposition,converged,true,true,exact_scientific,,,,,true,pass,exact classification/status/schema comparison
